Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
المواليد ,,,,,
الرمز,الاسم,رمز الباركود,الكمية,الإفرادي,الصورة
BS302R,جلاسة أطفال ارضي احمر,6280219302020,106,128,
BS302B,جلاسة أطفال ارضي ازرق,6280219302020,108,128,
BS302C,جلاسة أطفال ارضي بيج,6280219302020,103,128,
BS302P,جلاسة أطفال ارضي وردي,6280219302020,108,128,
88939,سرير اطفال هزاز بفرشة,6902890118893,17,115,
88953,سرير اطفال هزاز بفرشة,6902890118895,11,115,
6038,سرير أطفال ازرق,6904694386038,34,178,
BS-T,سرير أطفال مرتفع عدة مقاسات,6900200122035,50,215,
RO303R,سرير أطفال هزاز أحمر,2019021815303,58,198,
RO303B,سرير أطفال هزاز أزرق,2019021815303,46,198,
RO303C,سرير أطفال هزاز كحلي,2019021815303,58,198,
RO303P,سرير أطفال هزاز وردي,2019021815303,58,198,
BT303R,سرير بورت عادي احمر,2019010220303,48,290,
BT403BN,سرير بورت عادي توريتا,6280220403060,192,275,
BT403GY,سرير بورت عادي رمادي,6280220403050,209,275,
BT403GN,سرير بورت عادي نعناعي,6280220403070,215,275,
BT304R,سرير بورت هزاز أحمر,6280220304040,134,315,
BT304B,سرير بورت هزاز أزرق,6280220304020,127,315,
BT304C,سرير بورت هزاز بيج,6280220304030,101,315,
BT304P,سرير بورت هزاز وردي,6280220304010,119,315,
BT301B,سرير ثابت ينطبق أزرق,2001901022030,2,125,
MC82-WC,سرير خشب ابيض مع رصاصي,6952020120821,95,495,
QS-1-W,سرير خشب الملكة ابيض هزاز,6952020120012,48,735,
TM701-W,سرير خشب أبيض,6905202034701,9,395,
Q005B-C,سرير خشب بني كبير,6905202034007,68,445,
RO304R,شيال أطفال بمضلة احمر,6281815304020,51,150,
RO304B,شيال أطفال بمضلة ازرق,6281815304020,56,150,
RO304C,شيال أطفال بمضلة بيج,6281815304020,50,150,
RO304P,شيال أطفال بمضلة وردي,6281815304020,50,150,
M02-C,شيال أطفال بناموسية بدون علبة,6900200124176,1795,59,
C02-CB,شيال أطفال بناموسية مع علبة لون ازرق,6900200124183,38,64,
C02-CBG,شيال أطفال بناموسية مع علبة لون بيج,6900200124183,47,64,
C02-CP,شيال أطفال بناموسية مع علبة لون وردي,6900200124183,47,64,
C02-CPW,شيال أطفال بناموسية مع علبة لون وردي فاتح,6900200124183,39,64,
M02-FB,شيال أطفال قاعدة بناموسية لون ازرق,6900200124169,44,99,
M02-FBG,شيال أطفال قاعدة بناموسية لون بيج,6900200124169,37,99,
M02-FP,شيال أطفال قاعدة بناموسية لون وردي,6900200124169,47,99,
M02-FPW,شيال أطفال قاعدة بناموسية لون وردي فاتح,6900200124169,29,99,
RO301R,شيال أطفال مخمل احمر,6281815301020,100,155,
RO301B,شيال أطفال مخمل ازرق,6281815301020,104,155,
RO301C,شيال أطفال مخمل بيج,6281815301020,100,155,
RO301P,شيال أطفال مخمل وردي,6281815301020,89,155,
G-08503,طاولة مدارس ربع دائري,6900020012007,9,145,
G-08705,طاولة مدارس نص دائري,6900020012008,28,185,
S136-B,عربية أطفال Kathie,6900200120642,71,465,
S136-H,عربية أطفال Kathie,6900200120659,70,525,
5137-1,عربية أطفال Kathie,6900200120611,23,595,
5137-3,عربية أطفال Kathie,6900200120635,9,595,
TR18,عربية أطفال شنطة,6902020001354,172,235,
TR18B,عربية أطفال شنطة ازرق,6902020001354,8,235,
TR18GY,عربية أطفال شنطة رمادي,6902020001354,6,235,
ST408BN,عربية دفع اتجاهين ثمانية كفرات التوريتا,6281920408060,201,128,
ST408GY,عربية دفع اتجاهين ثمانية كفرات رمادي,6281920408050,195,128,
ST408GN,عربية دفع اتجاهين ثمانية كفرات نعناعي,6281920408070,267,128,
Q1,عربية دفع أطفال 2* 1,6900200123001,7,199,
ST412BN,عربية دفع سهل الطي التوريتا,6281920412060,133,395,
ST412GY,عربية دفع سهل الطي رمادي,6281920412050,139,395,
ST412GN,عربية دفع سهل الطي نعناعي,6281920412070,153,395,
401CG,عربية دفع عصا تعبئة 1,4562130925326,285,135,
ST303AR,عربية دفع عصا تعبئة حبة احمر,2190119203030,51,128,
ST303AB,عربية دفع عصا تعبئة حبة ازرق,2190119203030,58,128,
ST303AC,عربية دفع عصا تعبئة حبة بيج,2190119203030,51,128,
ST303AP,عربية دفع عصا تعبئة حبة وردي,2190119203030,53,128,
C035B,عربية دفع كلاسيك أزرق,,5,425,
2112B,عربية دفع نفرين ازرق,6902020001323,25,168,
2112DR,عربية دفع نفرين لون ازرق غامق,6902020001323,20,168,
2112BG,عربية دفع نفرين لون بيج,6902020001323,46,168,
2112P,عربية دفع نفرين وردي,69002020001323,53,168,
ST413BN,عربية نفرين جوار بعض التوريتا,6281920413060,207,345,
ST413GY,عربية نفرين جوار بعض رمادي,6281920413050,202,345,
ST413GN,عربية نفرين جوار بعض نعناعي,6281920413070,206,345,
88929,كرسي اطفال هزاز,6902890118892,239,105,
88971,كرسي اطفال هزاز,6902890118897,200,140,
88954,كرسي اطفال هزاز,6902890118895,203,130,
88931,كرسي اطفال هزاز,6902890118893,199,105,
88927,كرسي اطفال هزاز,6902890118892,180,140,
88928,كرسي اطفال هزاز,6902890118892,183,105,
88974,كرسي اطفال هزاز,6902890118897,158,130,
88926,كرسي اطفال هزاز,6902890118892,103,140,
88956,كرسي اطفال هزاز,6902890118895,149,130,
88955,كرسي اطفال هزاز,6902890118895,126,130,
88966,كرسي اطفال هزاز,6902890118896,124,105,
98215,كرسي اطفال هزاز,6902890119821,114,95,
98216,كرسي اطفال هزاز,6902890119821,111,95,
98214,كرسي اطفال هزاز,6902890119824,110,95,
88962,كرسي اطفال هزاز,6902890119821,37,90,
88961,كرسي اطفال هزاز,6902890118896,20,125,
88959,كرسي اطفال هزاز,6902890118895,11,125,
88925,كرسي اطفال هزاز,6902890118892,7,130,
CS306R,كرسي سيارة أحمر,2190103193020,138,299,
CS302R,كرسي سيارة أحمر,2190103193020,70,139,
CS307R,كرسي سيارة أحمر,2190103193020,62,245,
CS302B,كرسي سيارة أزرق,2190103193020,129,139,
CS306B,كرسي سيارة أزرق,2190103193020,133,299,
CS307B,كرسي سيارة أزرق,2190103193020,34,245,
CS306C,كرسي سيارة بيج,2190103193000,123,299,
CS302C,كرسي سيارة بيج,2190103193020,59,139,
CS307C,كرسي سيارة بيج,2190103193020,19,245,
CS408BN,كرسي سيارة تورتينا الون,6280319408000,18,355,
CS408GY,كرسي سيارة رمادي الون,6280319408000,116,355,
CS408GN,كرسي سيارة نعناعي الون,6280319408000,188,355,
CS306P,كرسي سيارة وردي,2190103193000,132,299,
CS302P,كرسي سيارة وردي,2190103193020,107,139,
CS307P,كرسي سيارة وردي,2190103193020,38,245,
C808,كرسي طعام Kathie,6900200120666,64,500,
C-006BR,كرسي طعام مع طاولة متحرك 1*2 لون بني,6900200121885,20,99,
C-006,كرسي طعام مع طاولة متحرك 2*1,6900200121885,121,99,
C-006B,كرسي طعام مع طاولة متحرك 2*1 ازرق,6900200121885,23,99,
C-006P,كرسي طعام مع طاولة متحرك 2*1وردي,6900200121885,29,99,
88965,كرسي هزاز,,201,140,
88945,كرسي هزاز,,197,115,
88922,كرسي هزاز,,184,115,
88957,كرسي هزاز,6902890118894,129,130,
27232,كرسي هزاز,,56,140,
88964,كرسي هزاز,,87,90,
88921,كرسي هزاز,,93,115,
6913,كرسي هزاز,6946943869134,48,115,
88963,كرسي هزاز,,48,90,
88919,كرسي هزاز,,29,110,
27230,كرسي هزاز,,,140,
98219,كرسي هزاز,,1,105,
6912,كرسي هزاز,6946943869127,5,115,
27231,كرسي هزاز,,2,140,
98217,كرسي هزاز,6902890118893,1,105,
98218,كرسي هزاز,,5,105,
6915,كرسي هزاز اخضر,6946943869158,8,108,
6922,كرسي هزاز ازرق,6946943869226,8,95,
AR301R,كرسي هزاز أحمر,2190201183010,117,148,
AR301B,كرسي هزاز أزرق,2190201183010,217,148,
AR301C,كرسي هزاز بيج,2190201183010,169,148,
