Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
الالعاب والدراجات ,,,,,
,,,,,
الرمز,الاسم,رمز الباركود,الكمية,الإفرادي,الصور
211,دباب دفع عادي بعلبة,6900023221113,7,65,
301,سيارة دفع بعصا,6900200121953,160,65,
302,سيارة دفع بعصا,6900200121977,,72,
313,سيارة دفع,6900200121946,139,30,
316,سيارة دفع بعصا,6900200121991,77,73,
318,سيارة دفع عادي,6900200122004,53,63,
319,سيارة دفع بعصا,6900200122011,116,69,
612,سيارة دفع عادي,6900200121984,10,53,
901,سيارة دفع,6900200129010,121,64,
902,سيارة دفع,6900200129027,137,54,
955,اسكوتر ثلاثة كفر,6900200121090,2,75,
802087,مرجيحة حدائق (مفردة ومزدوجة وميزان),6903670992087,8,745,
103AB,دراجة نفر حديد تعبئة حبة ازرق,6900202000184,76,65,
103AG,دراجة نفر حديد تعبئة حبة اخضر,6900202000184,127,65,
103AOR,دراجة نفر حديد تعبئة حبة برتقالي,6900202000184,113,65,
103AR,دراجة نفر حديد تعبئة حبة احمر,6900202000184,117,65,
106AB,دراجة نفرين حديد تعبئة حبة ازرق,69002020001859,17,83,
106AG,دراجة نفرين حديد تعبئة حبة اخضر,69002020001859,23,83,
106AOR,دراجة نفرين حديد تعبئة حبة برتقالي,69002020001859,22,83,
106AR,دراجة نفرين حديد تعبئة حبة احمر,69002020001859,19,83,
108DF9AB,دراجة نفرين تايقر تعبئة حبة ازرق,6900202000195,42,108,
108DF9AOR,دراجة نفرين تايقر تعبئة حبة برتقالي,6900202000195,41,108,
108DF9AP,دراجة نفرين تايقر تعبئة حبة وردي,6900202000195,39,108,
108DOR,دراجة نفرين بلاستيك تعبئة حبة برتقالي,6900200121816,16,84,
108SOR,دراجة نفر بلاستيك تعبة حبة برتقالي,6900200121809,7,74,
108SR,دراجة نفر بلاستيك تعبة حبة احمر,6900200121809,5,74,
108SS33B,دراجة نفر تايكر بلاستيك ازرق,6900202000194,72,88,
108SS33OR,دراجة نفر تايكر بلاستيك برتقالي,6900202000194,68,88,
108SS33P,دراجة نفر تايقر تعبئة حبة وردي,69002020001941,27,98,
12-927B,دراجة تايقر 12 بجناح أزرق,6900202092712,17,180,
12-927CP,دراجة كوبرا 12 بجناح,6900200121137,240,192,
12-B1293,دراجة مقاس 12 تكاية,6900200121199,222,119,
14-927CP,دراجة كوبرا 14 بجناح,6900200121144,,197,
14-927R,دراجة تايقر 14 بجناح أحمر,6900202092714,7,195,
14-B1293,دراجة مقاس 14 تكاية,6900200121205,26,129,
14R-EVA-H,دراجة رامبو 14 كفرصب,6902020914142,,118,
20R-H,دراجة رامبو 20 كفر هواء,6902020914203,91,148,
26-6666,دراجة بناتي 26 هندي موف,,32,325,
332R,سيارة دفع مرسيدس أحمر,69038360700817,36,99,
332W,سيارة دفع مرسيدس أبيض,69038360700817,22,99,
353R,سيارة دفع ماكلرين أحمر,6903836070131,67,109,
353W,سيارة دفع ماكلرين ابيض,6903836070131,60,109,
372A-O,سيارة دفع ماكلرين برتقالي,6903836070146,21,113,
372A-R,سيارة دفع ماكلرين أحمر,6903836070146,23,113,
372A-Y,سيارة دفع ماكلرين أصفر,6903836070146,49,113,
603BB,سيارة دفع لون ازرق,6937928800167,29,42,
603BG,سيارة دفع لون اخضر,6937928800167,30,42,
603BR,سيارة دفع لون احمر,6937928800167,9,42,
606BB,سيارة دفع جيب بدون أصوات ازرق,6937928800020,5,44,
606BG,سيارة دفع جيب بدون أصوات لون اخضر,6937928800020,20,44,
606BR,سيارة دفع جيب بدون أصوات لون احمر,6937928800020,57,44,
606MB,سيارة دفع جيب بأصوات ازرق,6903792880001,17,49,
606MG,سيارة دفع جيب بأصوات اخضر,6903792880001,29,49,
606MR,سيارة دفع جيب بأصوات احمر,6903792880001,29,49,
7201B,سيارة دفع عادي لون ازرق,6937928800198,18,42,
7201G,سيارة دفع عادي لون اخضر,6937928800198,39,42,
7201OR,سيارة دفع عادي لون برتقالي,6937928800198,34,42,
7201R,سيارة دفع عادي لون احمر,6937928800198,31,42,
7301B,سيارة دفع عادي لون ازرق,6937928800181,41,38,
7301G,سيارة دفع عادي لون اخضر,6937928800181,38,38,
7301P,سيارة دفع عادي لون وردي,6937928800181,43,38,
7301R,سيارة دفع عادي لون احمر,6937928800181,41,38,
989B,دراجة ثلاث عجل أزرق,6900202000207,79,98,
A09,دراجة ثلاث عجل,69002020000098,254,82,
A12,دراجة ثلاث عجل,6900202000012,2,48,
A-16,سيارة بدالة كفر هواء,6900202000129,1,328,
B001,سيارة بدالة,6900202000116,5,118,
B002,سيارة بدالة,6900202000117,9,118,
B003,سيارة بدالة,6900202000118,5,118,
B04-14,دراجة مقاس 14 سلة,69002020004140,0,119,
B04-16,دراجة مقاس 16 سلة,69002020004164,0,129,
B06-12,دراجة مقاس 12 ابوسلة,6900200123308,0,109,
B06-16,دراجة مقاس 16 ابوسلة,6900200123322,0,129,
B07-12,دراجة مقاس 12 ابوسلة,6900200123339,18,106,
B07-14,دراجة مقاس 14 ابوسلة,6900200123346,36,116,
B07-16,دراجة مقاس 16 ابوسلة,6900200123353,47,126,
B08-16,دراجة مقاس 16 ابوسلة,6900200123384,3,134,
B09-12,دراجة مقاس 12 ابوطاسة,6900200123391,96,125,
B09-14,دراجة مقاس 14 ابوطاسة,6900200123407,0,135,
B09-16,دراجة مقاس 16 ابوطاسة,6900200123414,0,145,
C-802,دراجة نفر حديد 2 في الكرتون,6900200123148,1616,53,
C-803,دراجة نفرين حديد 3 في الكرتون,6900200123155,1366,63,
CHD-500,منزل بلاستيك كوري,8809384005005,143,489,
CHD-505,منزل بلاستيك كوري مع ملحق,8809384005050,0,579,
E02-1P,سيارة بدالة لون وردي,6900200124145,6,129,
E02-1R,سيارة بدالة لون احمر,6900200124145,7,129,
E102PA,اسكوتر كهربائي ينطبق W350,6900200121106,25,1225,
F2,اسكوتر كهربائي كفرين W250,,128,845,
F618,سيارة بدالة كفر هواء,6900202000131,6,398,
